bc_id,short_name,synonyms
C102038,AIMS - Upper Extremities,AIMS01-Upper Extremities;AIMS0105
C102038,AIMS - Upper Extremities,AIMS01-Upper Extremities;AIMS0105
C102038,AIMS - Upper Extremities,AIMS01-Upper Extremities;AIMS0105
C177561,AJCC Cancer Staging Manual,AJCC Cancer Staging Manual;ajcc staging system edition
C125755,AJCC Cancer Staging Manual 7th Edition,AJCC V7;AJCC1;AJCC7
C141699,AJCC v7 - Anatomic Stage,AJCC1-Anatomic;Stage;AJCC104
C141699,AJCC v7 - Anatomic Stage,AJCC1-Anatomic;Stage;AJCC104
C141699,AJCC v7 - Anatomic Stage,AJCC1-Anatomic;Stage;AJCC104
C141699,AJCC v7 - Anatomic Stage,AJCC1-Anatomic;Stage;AJCC104
C141699,AJCC v7 - Anatomic Stage,AJCC1-Anatomic;Stage;AJCC104
C141698,AJCC v7 - Distant Metastasis (M),AJCC1-Distant Metastasis (M);AJCC103
C141698,AJCC v7 - Distant Metastasis (M),AJCC1-Distant Metastasis (M);AJCC103
C141698,AJCC v7 - Distant Metastasis (M),AJCC1-Distant Metastasis (M);AJCC103
C141698,AJCC v7 - Distant Metastasis (M),AJCC1-Distant Metastasis (M);AJCC103
C141698,AJCC v7 - Distant Metastasis (M),AJCC1-Distant Metastasis (M);AJCC103
C141697,AJCC v7 - Regional Lymph Nodes (N),AJCC1-Regional Lymph Nodes (N);AJCC102
C141697,AJCC v7 - Regional Lymph Nodes (N),AJCC1-Regional Lymph Nodes (N);AJCC102
C141697,AJCC v7 - Regional Lymph Nodes (N),AJCC1-Regional Lymph Nodes (N);AJCC102
C141697,AJCC v7 - Regional Lymph Nodes (N),AJCC1-Regional Lymph Nodes (N);AJCC102
C141697,AJCC v7 - Regional Lymph Nodes (N),AJCC1-Regional Lymph Nodes (N);AJCC102
C176205,AJCC v7 - Residual Tumor (R),AJCC1-Residual Tumor (R);AJCC105
C176205,AJCC v7 - Residual Tumor (R),AJCC1-Residual Tumor (R);AJCC105
C176205,AJCC v7 - Residual Tumor (R),AJCC1-Residual Tumor (R);AJCC105
C176205,AJCC v7 - Residual Tumor (R),AJCC1-Residual Tumor (R);AJCC105
C176205,AJCC v7 - Residual Tumor (R),AJCC1-Residual Tumor (R);AJCC105
C121109,APACHE II - 15 Minus Glasgow Coma Score,APCH1-15 Minus Glasgow Coma Score;APCH112
C121109,APACHE II - 15 Minus Glasgow Coma Score,APCH1-15 Minus Glasgow Coma Score;APCH112
C121109,APACHE II - 15 Minus Glasgow Coma Score,APCH1-15 Minus Glasgow Coma Score;APCH112
C121109,APACHE II - 15 Minus Glasgow Coma Score,APCH1-15 Minus Glasgow Coma Score;APCH112
C121110,"APACHE II - A, Total Acute Physiology Score",APCH1-A: Total Acute Physiology Score;APCH113
C121110,"APACHE II - A, Total Acute Physiology Score",APCH1-A: Total Acute Physiology Score;APCH113
C121110,"APACHE II - A, Total Acute Physiology Score",APCH1-A: Total Acute Physiology Score;APCH113
C121110,"APACHE II - A, Total Acute Physiology Score",APCH1-A: Total Acute Physiology Score;APCH113
C121102,APACHE II - Arterial pH,APCH1-Arterial pH;APCH106A
C121102,APACHE II - Arterial pH,APCH1-Arterial pH;APCH106A
C121102,APACHE II - Arterial pH,APCH1-Arterial pH;APCH106A
C121102,APACHE II - Arterial pH,APCH1-Arterial pH;APCH106A
C121111,"APACHE II - B, Age Points",APCH1-B: Age Points;APCH114
C121111,"APACHE II - B, Age Points",APCH1-B: Age Points;APCH114
C121111,"APACHE II - B, Age Points",APCH1-B: Age Points;APCH114
C121111,"APACHE II - B, Age Points",APCH1-B: Age Points;APCH114
